spectrum_#,spectrum_id,name,side,targetnum,ra,dec,i_mag,neel,sarayu,reagen,brenda
106.0,slitA106_SDSSJ112651.36+422401.3t100898.fits,SDSSJ112651.36+422401.3,A,11059,171.714039,42.400379,21.57,,0.545,0.545,
107.0,slitA107_SDSSJ112651.36+422401.3t100899.fits,SDSSJ112651.36+422401.3,A,1045,171.714039,42.400379,21.57,similar to before,0.544,0.544,
107.0,slitA107_SDSSJ112651.36+422401.3t100899.fits,SDSSJ112651.36+422401.3,A,11059,171.714039,42.400379,21.57,similar to before,0.544,0.544,
108.0,slitA108_SDSSJ112658.70+422216.8t100900.fits,SDSSJ112658.70+422216.8,A,953,171.744607,42.371345,22.99,,?,?,
108.0,slitA108_SDSSJ112658.70+422216.8t100900.fits,SDSSJ112658.70+422216.8,A,10967,171.744607,42.371345,22.99,,?,?,
109.0,slitA109_SDSSJ112658.70+422216.8t100901.fits,SDSSJ112658.70+422216.8,A,953,171.744607,42.371345,22.99,,?,?,
109.0,slitA109_SDSSJ112658.70+422216.8t100901.fits,SDSSJ112658.70+422216.8,A,10967,171.744607,42.371345,22.99,,?,?,
110.0,slitA110_SDSSJ112656.81+422229.4t100902.fits,SDSSJ112656.81+422229.4,A,1048,171.736743,42.374852,21.78,,0.8144,0.815,
110.0,slitA110_SDSSJ112656.81+422229.4t100902.fits,SDSSJ112656.81+422229.4,A,11062,171.736743,42.374852,21.78,,0.8144,0.815,
111.0,slitA111_SDSSJ112656.81+422229.4t100903.fits,SDSSJ112656.81+422229.4,A,1048,171.736743,42.374852,21.78,similar to before,0.815,0.815,
111.0,slitA111_SDSSJ112656.81+422229.4t100903.fits,SDSSJ112656.81+422229.4,A,11062,171.736743,42.374852,21.78,similar to before,0.815,0.815,
112.0,slitA112_SDSSJ112650.05+422340.6t100904.fits,SDSSJ112650.05+422340.6,A,946,171.708558,42.39463,21.37,,0.3482,0.348,
112.0,slitA112_SDSSJ112650.05+422340.6t100904.fits,SDSSJ112650.05+422340.6,A,10960,171.708558,42.39463,21.37,,0.3482,0.348,
113.0,slitA113_SDSSJ112650.05+422340.6t100905.fits,SDSSJ112650.05+422340.6,A,946,171.708558,42.39463,21.37,similar to before,0.348,0.348,
113.0,slitA113_SDSSJ112650.05+422340.6t100905.fits,SDSSJ112650.05+422340.6,A,10960,171.708558,42.39463,21.37,similar to before,0.348,0.348,
114.0,slitA114_SDSSJ112653.94+422241.9t100906.fits,SDSSJ112653.94+422241.9,A,948,171.724755,42.378309,20.74,,0.2929,0.292,
114.0,slitA114_SDSSJ112653.94+422241.9t100906.fits,SDSSJ112653.94+422241.9,A,10962,171.724755,42.378309,20.74,,0.2929,0.292,
115.0,slitA115_SDSSJ112653.94+422241.9t100907.fits,SDSSJ112653.94+422241.9,A,948,171.724755,42.378309,20.74,similar to before,0.2929,0.292,
115.0,slitA115_SDSSJ112653.94+422241.9t100907.fits,SDSSJ112653.94+422241.9,A,10962,171.724755,42.378309,20.74,similar to before,0.2929,0.292,
116.0,slitA116_SDSSJ112656.37+422159.1t100908.fits,SDSSJ112656.37+422159.1,A,395,171.734886,42.366442,20.79,,?,?,
116.0,slitA116_SDSSJ112656.37+422159.1t100908.fits,SDSSJ112656.37+422159.1,A,10400,171.734886,42.366442,20.79,,?,?,
117.0,slitA117_SDSSJ112656.37+422159.1t100909.fits,SDSSJ112656.37+422159.1,A,395,171.734886,42.366442,20.79,,?,?,
117.0,slitA117_SDSSJ112656.37+422159.1t100909.fits,SDSSJ112656.37+422159.1,A,10400,171.734886,42.366442,20.79,,?,?,
118.0,slitA118_SDSSJ112647.11+422342.4t100910.fits,SDSSJ112647.11+422342.4,A,1076,171.696319,42.395133,23.27,re-try,0.6595,?,
118.0,slitA118_SDSSJ112647.11+422342.4t100910.fits,SDSSJ112647.11+422342.4,A,11090,171.696319,42.395133,23.27,re-try,0.6595,?,
119.0,slitA119_SDSSJ112647.11+422342.4t100911.fits,SDSSJ112647.11+422342.4,A,1076,171.696319,42.395133,23.27,similar to before,0.6595,?,
119.0,slitA119_SDSSJ112647.11+422342.4t100911.fits,SDSSJ112647.11+422342.4,A,11090,171.696319,42.395133,23.27,similar to before,0.6595,?,
120.0,slitA120_SDSSJ112700.01+422053.7t100912.fits,SDSSJ112700.01+422053.7,A,484,171.750055,42.348255,22.17,,?,0.312,
120.0,slitA120_SDSSJ112700.01+422053.7t100912.fits,SDSSJ112700.01+422053.7,A,10489,171.750055,42.348255,22.17,,?,0.312,
121.0,slitA121_SDSSJ112700.01+422053.7t100913.fits,SDSSJ112700.01+422053.7,A,484,171.750055,42.348255,22.17,?,0.297?,0.312?,
121.0,slitA121_SDSSJ112700.01+422053.7t100913.fits,SDSSJ112700.01+422053.7,A,10489,171.750055,42.348255,22.17,?,0.297?,0.312?,
122.0,slitA122_SDSSJ112657.92+422100.3t100914.fits,SDSSJ112657.92+422100.3,A,478,171.741349,42.350091,22.07,,?,?,
122.0,slitA122_SDSSJ112657.92+422100.3t100914.fits,SDSSJ112657.92+422100.3,A,10483,171.741349,42.350091,22.07,,?,?,
123.0,slitA123_SDSSJ112657.92+422100.3t100915.fits,SDSSJ112657.92+422100.3,A,478,171.741349,42.350091,22.07,,?,?,
123.0,slitA123_SDSSJ112657.92+422100.3t100915.fits,SDSSJ112657.92+422100.3,A,10483,171.741349,42.350091,22.07,,?,?,
124.0,slitA124_SDSSJ112651.81+422202.5t100916.fits,SDSSJ112651.81+422202.5,A,587,171.715884,42.367363,23.12,show,0.573?,?,
124.0,slitA124_SDSSJ112651.81+422202.5t100916.fits,SDSSJ112651.81+422202.5,A,10592,171.715884,42.367363,23.12,show,0.573?,?,
125.0,slitA125_SDSSJ112651.81+422202.5t100917.fits,SDSSJ112651.81+422202.5,A,587,171.715884,42.367363,23.12,similar to before,0.573?,0.573?,
125.0,slitA125_SDSSJ112651.81+422202.5t100917.fits,SDSSJ112651.81+422202.5,A,10592,171.715884,42.367363,23.12,similar to before,0.573?,0.573?,
126.0,slitA126_SDSSJ112652.55+422140.9t100918.fits,SDSSJ112652.55+422140.9,A,472,171.718997,42.361362,21.16,show,0.411,0.41,
126.0,slitA126_SDSSJ112652.55+422140.9t100918.fits,SDSSJ112652.55+422140.9,A,10477,171.718997,42.361362,21.16,show,0.411,0.41,
127.0,slitA127_SDSSJ112652.55+422140.9t100919.fits,SDSSJ112652.55+422140.9,A,472,171.718997,42.361362,21.16,similar to before,0.411,0.41,
127.0,slitA127_SDSSJ112652.55+422140.9t100919.fits,SDSSJ112652.55+422140.9,A,10477,171.718997,42.361362,21.16,similar to before,0.411,0.41,
128.0,slitA128_SDSSJ112645.60+422255.1t100920.fits,SDSSJ112645.60+422255.1,A,574,171.690016,42.381976,22.4,,?,?,
128.0,slitA128_SDSSJ112645.60+422255.1t100920.fits,SDSSJ112645.60+422255.1,A,10579,171.690016,42.381976,22.4,,?,?,
129.0,slitA129_SDSSJ112645.60+422255.1t100921.fits,SDSSJ112645.60+422255.1,A,574,171.690016,42.381976,22.4,,?,?,
129.0,slitA129_SDSSJ112645.60+422255.1t100921.fits,SDSSJ112645.60+422255.1,A,10579,171.690016,42.381976,22.4,,?,?,
130.0,slitA130_SDSSJ112652.59+422118.9t100922.fits,SDSSJ112652.59+422118.9,A,505,171.719163,42.355261,22.66,,?,?,
130.0,slitA130_SDSSJ112652.59+422118.9t100922.fits,SDSSJ112652.59+422118.9,A,10510,171.719163,42.355261,22.66,,?,?,
131.0,slitA131_SDSSJ112652.59+422118.9t100923.fits,SDSSJ112652.59+422118.9,A,505,171.719163,42.355261,22.66,,?,?,
131.0,slitA131_SDSSJ112652.59+422118.9t100923.fits,SDSSJ112652.59+422118.9,A,10510,171.719163,42.355261,22.66,,?,?,
132.0,slitA132_SDSSJ112639.88+422344.3t100924.fits,SDSSJ112639.88+422344.3,A,3205,171.666172,42.395642,21.97,show,0.1997,0.1995,
133.0,slitA133_SDSSJ112643.49+422247.8t100925.fits,SDSSJ112643.49+422247.8,A,3202,171.681227,42.379956,19.97,,?,?,
134.0,slitA134_SDSSJ112636.19+422407.2t100926.fits,SDSSJ112636.19+422407.2,A,3180,171.650815,42.402004,22.65,,?,?,
135.0,slitA135_SDSSJ112648.88+422118.5t100927.fits,SDSSJ112648.88+422118.5,A,405,171.703707,42.355149,20.67,show,0.4121,0.412,
135.0,slitA135_SDSSJ112648.88+422118.5t100927.fits,SDSSJ112648.88+422118.5,A,10410,171.703707,42.355149,20.67,show,0.4121,0.412,
136.0,slitA136_SDSSJ112648.88+422118.5t100928.fits,SDSSJ112648.88+422118.5,A,405,171.703707,42.355149,20.67,similar to before,0.4121,0.412,
136.0,slitA136_SDSSJ112648.88+422118.5t100928.fits,SDSSJ112648.88+422118.5,A,10410,171.703707,42.355149,20.67,similar to before,0.4121,0.412,
137.0,slitA137_SDSSJ112647.94+422116.2t100929.fits,SDSSJ112647.94+422116.2,A,460,171.699773,42.354526,21.22,show,0.409,0.409,
137.0,slitA137_SDSSJ112647.94+422116.2t100929.fits,SDSSJ112647.94+422116.2,A,10465,171.699773,42.354526,21.22,show,0.409,0.409,
138.0,slitA138_SDSSJ112647.94+422116.2t100930.fits,SDSSJ112647.94+422116.2,A,460,171.699773,42.354526,21.22,similar to before,0.4096,0.409,
138.0,slitA138_SDSSJ112647.94+422116.2t100930.fits,SDSSJ112647.94+422116.2,A,10465,171.699773,42.354526,21.22,similar to before,0.4096,0.409,
139.0,slitA139_SDSSJ112653.28+421959.1t100931.fits,SDSSJ112653.28+421959.1,A,471,171.722012,42.333086,22.56,show,0.6825,0.682,
139.0,slitA139_SDSSJ112653.28+421959.1t100931.fits,SDSSJ112653.28+421959.1,A,10476,171.722012,42.333086,22.56,show,0.6825,0.682,
140.0,slitA140_SDSSJ112653.28+421959.1t100932.fits,SDSSJ112653.28+421959.1,A,471,171.722012,42.333086,22.56,similar to before,0.6825,0.6825,
140.0,slitA140_SDSSJ112653.28+421959.1t100932.fits,SDSSJ112653.28+421959.1,A,10476,171.722012,42.333086,22.56,similar to before,0.6825,0.6825,
141.0,slitA141_SDSSJ112633.12+422351.5t100933.fits,SDSSJ112633.12+422351.5,A,3128,171.638011,42.397647,20.48,show,0.28,0.28,
142.0,slitA142_SDSSJ112633.47+422336.1t100934.fits,SDSSJ112633.47+422336.1,A,3125,171.639477,42.393384,21.26,,?,?,
143.0,slitA143_SDSSJ112636.34+422250.5t100935.fits,SDSSJ112636.34+422250.5,A,3178,171.651449,42.380722,22.62,,?,?,
144.0,slitA144_SDSSJ112634.04+422307.6t100936.fits,SDSSJ112634.04+422307.6,A,2992,171.641859,42.38546,19.53,,?,?,
145.0,slitA145_SDSSJ112634.62+422250.3t100937.fits,SDSSJ112634.62+422250.3,A,2996,171.64428,42.380662,18.86,show,0.1932,0.194,
146.0,slitA146_SDSSJ112632.74+422301.2t100938.fits,SDSSJ112632.74+422301.2,A,3009,171.63645,42.38367,24.28,show,0.3236,?,
147.0,slitA147_SDSSJ112625.40+422417.8t100939.fits,SDSSJ112625.40+422417.8,A,2989,171.605863,42.404972,22.76,show,0.3495,0.349,
148.0,slitA148_SDSSJ112623.73+422427.6t100940.fits,SDSSJ112623.73+422427.6,A,3102,171.598876,42.407679,20.39,,0.349,0.349,
149.0,slitB001_SDSSJ112708.91+423720.0t100941,SDSSJ112708.91+423720.0,B,12956,171.787139,42.622237,22.94,,?,?,
150.0,slitB002_SDSSJ112707.04+423730.3t100942,SDSSJ112707.04+423730.3,B,12979,171.779359,42.625106,21.44,,,?,
151.0,slitB003_SDSSJ112652.35+424017.1t100943,SDSSJ112652.35+424017.1,B,12764,171.718155,42.671442,22.0,,,?,
152.0,slitB004_SDSSJ112645.40+424129.3t100944,SDSSJ112645.40+424129.3,B,12644,171.689205,42.691476,24.64,,,?,
153.0,slitB005_SDSSJ112640.10+424223.0t100945,SDSSJ112640.10+424223.0,B,12713,171.667112,42.706405,22.12,,,?,
154.0,slitB006_SDSSJ112702.21+423742.2t100946,SDSSJ112702.21+423742.2,B,12804,171.759233,42.628407,20.27,,,?,
155.0,slitB007_SDSSJ112647.12+424034.7t100947,SDSSJ112647.12+424034.7,B,12670,171.696361,42.676311,18.69,0.2517,,0.25,
156.0,slitB008_SDSSJ112703.61+423701.0t100948,SDSSJ112703.61+423701.0,B,12807,171.76505,42.616948,23.24,,,?,
157.0,slitB009_SDSSJ112659.45+423739.7t100949,SDSSJ112659.45+423739.7,B,12887,171.747742,42.627702,21.92,,,?,
158.0,slitB010_SDSSJ112650.80+423915.3t100950,SDSSJ112650.80+423915.3,B,12753,171.711702,42.654254,21.86,,,?,
159.0,slitB011_SDSSJ112645.43+424010.0t100951,SDSSJ112645.43+424010.0,B,12725,171.689333,42.669465,22.75,,,?,
160.0,slitB012_SDSSJ112650.28+423900.8t100952,SDSSJ112650.28+423900.8,B,12749,171.709516,42.650241,21.94,,,?,
161.0,slitB013_SDSSJ112649.65+423852.4t100953,SDSSJ112649.65+423852.4,B,12741,171.706898,42.647897,18.85,,,?,
162.0,slitB014_SDSSJ112656.15+423721.4t100954,SDSSJ112656.15+423721.4,B,11384,171.733988,42.622638,22.03,?,,0.185,
163.0,slitB015_SDSSJ112650.51+423816.4t100955,SDSSJ112650.51+423816.4,B,12876,171.710484,42.637914,22.26,,,?,
164.0,slitB016_SDSSJ112656.45+423653.2t100956,SDSSJ112656.45+423653.2,B,11468,171.735218,42.614801,23.78,,,?,
165.0,slitB017_SDSSJ112649.14+423812.1t100957,SDSSJ112649.14+423812.1,B,12875,171.704769,42.636714,22.14,,,?,
166.0,slitB018_SDSSJ112652.45+423720.5t100958,SDSSJ112652.45+423720.5,B,11380,171.718581,42.622363,20.79,,,?,
167.0,slitB019_SDSSJ112636.95+424019.2t100959,SDSSJ112636.95+424019.2,B,12859,171.653997,42.672005,21.21,,,?,
168.0,slitB020_SDSSJ112647.93+423754.2t100960,SDSSJ112647.93+423754.2,B,11440,171.699725,42.631745,21.96,,,?,
169.0,slitB021_SDSSJ112655.92+423606.0t100961,SDSSJ112655.92+423606.0,B,11473,171.733002,42.601671,24.92,,,?,
170.0,slitB022_SDSSJ112631.60+424052.7t100962,SDSSJ112631.60+424052.7,B,5857,171.631697,42.681318,22.03,0.275,,0.274,
170.0,slitB022_SDSSJ112631.60+424052.7t100962,SDSSJ112631.60+424052.7,B,16039,171.631697,42.681318,22.03,0.275,,0.274,
171.0,slitB023_SDSSJ112631.60+424052.7t100963,SDSSJ112631.60+424052.7,B,5857,171.631697,42.681318,22.03,0.275,,0.274,
171.0,slitB023_SDSSJ112631.60+424052.7t100963,SDSSJ112631.60+424052.7,B,16039,171.631697,42.681318,22.03,0.275,,0.274,
172.0,slitB024_SDSSJ112637.95+423923.9t100964,SDSSJ112637.95+423923.9,B,12699,171.658147,42.656658,21.65,0.168,,0.147,
173.0,slitB025_SDSSJ112631.34+424031.9t100965,SDSSJ112631.34+424031.9,B,5899,171.630594,42.675546,21.58,,,?,
173.0,slitB025_SDSSJ112631.34+424031.9t100965,SDSSJ112631.34+424031.9,B,16081,171.630594,42.675546,21.58,,,?,
174.0,slitB026_SDSSJ112631.34+424031.9t100966,SDSSJ112631.34+424031.9,B,5899,171.630594,42.675546,21.58,,,?,
174.0,slitB026_SDSSJ112631.34+424031.9t100966,SDSSJ112631.34+424031.9,B,16081,171.630594,42.675546,21.58,,,?,
175.0,slitB027_SDSSJ112655.44+423526.9t100967,SDSSJ112655.44+423526.9,B,11333,171.731038,42.590817,20.3,,,?,
176.0,slitB028_SDSSJ112637.25+423856.1t100968,SDSSJ112637.25+423856.1,B,11324,171.655246,42.648933,19.31,,,?,
177.0,slitB029_SDSSJ112650.99+423553.3t100969,SDSSJ112650.99+423553.3,B,11329,171.71246,42.598144,21.37,,,?,
178.0,slitB030_SDSSJ112644.87+423656.8t100970,SDSSJ112644.87+423656.8,B,11328,171.686965,42.615799,19.19,,,?,
179.0,slitB031_SDSSJ112634.56+423852.1t100971,SDSSJ112634.56+423852.1,B,5874,171.64404,42.647823,19.74,0.2785,,0.2785,
179.0,slitB031_SDSSJ112634.56+423852.1t100971,SDSSJ112634.56+423852.1,B,16056,171.64404,42.647823,19.74,0.2785,,0.2785,
180.0,slitB032_SDSSJ112634.56+423852.1t100972,SDSSJ112634.56+423852.1,B,5874,171.64404,42.647823,19.74,0.2784,,0.278,
180.0,slitB032_SDSSJ112634.56+423852.1t100972,SDSSJ112634.56+423852.1,B,16056,171.64404,42.647823,19.74,0.2784,,0.278,
181.0,slitB033_SDSSJ112643.59+423647.9t100973,SDSSJ112643.59+423647.9,B,11326,171.681652,42.613306,17.03,?,,?,
182.0,slitB034_SDSSJ112643.35+423634.8t100974,SDSSJ112643.35+423634.8,B,11327,171.680629,42.609684,21.49,?,,0.1141,
183.0,slitB035_SDSSJ112624.09+424018.6t100975,SDSSJ112624.09+424018.6,B,5752,171.600408,42.671842,21.83,?,,?,
183.0,slitB035_SDSSJ112624.09+424018.6t100975,SDSSJ112624.09+424018.6,B,15932,171.600408,42.671842,21.83,?,,?,
184.0,slitB036_SDSSJ112624.09+424018.6t100976,SDSSJ112624.09+424018.6,B,5752,171.600408,42.671842,21.83,?,,?,
184.0,slitB036_SDSSJ112624.09+424018.6t100976,SDSSJ112624.09+424018.6,B,15932,171.600408,42.671842,21.83,?,,?,
185.0,slitB037_SDSSJ112631.72+423835.1t100977,SDSSJ112631.72+423835.1,B,5837,171.632179,42.643089,23.34,?,,?,
185.0,slitB037_SDSSJ112631.72+423835.1t100977,SDSSJ112631.72+423835.1,B,16019,171.632179,42.643089,23.34,?,,?,
186.0,slitB038_SDSSJ112631.72+423835.1t100978,SDSSJ112631.72+423835.1,B,5837,171.632179,42.643089,23.34,?,,?,
186.0,slitB038_SDSSJ112631.72+423835.1t100978,SDSSJ112631.72+423835.1,B,16019,171.632179,42.643089,23.34,?,,?,
187.0,slitB039_SDSSJ112637.15+423718.5t100979,SDSSJ112637.15+423718.5,B,11413,171.654803,42.621819,21.31,?,,?,
188.0,slitB040_SDSSJ112631.79+423809.3t100980,SDSSJ112631.79+423809.3,B,5834,171.632494,42.635939,19.34,?,,?,
188.0,slitB040_SDSSJ112631.79+423809.3t100980,SDSSJ112631.79+423809.3,B,16016,171.632494,42.635939,19.34,?,,?,
189.0,slitB041_SDSSJ112631.79+423809.3t100981,SDSSJ112631.79+423809.3,B,5834,171.632494,42.635939,19.34,?,,?,
189.0,slitB041_SDSSJ112631.79+423809.3t100981,SDSSJ112631.79+423809.3,B,16016,171.632494,42.635939,19.34,?,,?,
190.0,slitB042_SDSSJ112635.64+423711.9t100982,SDSSJ112635.64+423711.9,B,5871,171.648506,42.62,23.86,?,,?,
190.0,slitB042_SDSSJ112635.64+423711.9t100982,SDSSJ112635.64+423711.9,B,16053,171.648506,42.62,23.86,?,,?,
191.0,slitB043_SDSSJ112635.64+423711.9t100983,SDSSJ112635.64+423711.9,B,5871,171.648506,42.62,23.86,?,,?,
191.0,slitB043_SDSSJ112635.64+423711.9t100983,SDSSJ112635.64+423711.9,B,16053,171.648506,42.62,23.86,?,,?,
192.0,slitB044_SDSSJ112626.95+423845.8t100984,SDSSJ112626.95+423845.8,B,5555,171.612296,42.646067,20.21,?,,?,
192.0,slitB044_SDSSJ112626.95+423845.8t100984,SDSSJ112626.95+423845.8,B,15734,171.612296,42.646067,20.21,?,,?,
193.0,slitB045_SDSSJ112626.95+423845.8t100985,SDSSJ112626.95+423845.8,B,5555,171.612296,42.646067,20.21,0.213?,,0.213,
193.0,slitB045_SDSSJ112626.95+423845.8t100985,SDSSJ112626.95+423845.8,B,15734,171.612296,42.646067,20.21,0.213?,,0.213,
194.0,slitB046_SDSSJ112641.98+423531.0t100986,SDSSJ112641.98+423531.0,B,11460,171.674934,42.591958,23.16,?,,?,
195.0,slitB047_SDSSJ112626.45+423830.1t100987,SDSSJ112626.45+423830.1,B,5288,171.610228,42.641707,20.09,0,,0,
195.0,slitB047_SDSSJ112626.45+423830.1t100987,SDSSJ112626.45+423830.1,B,15467,171.610228,42.641707,20.09,0,,0,
196.0,slitB048_SDSSJ112626.45+423830.1t100988,SDSSJ112626.45+423830.1,B,5288,171.610228,42.641707,20.09,0,,0,
196.0,slitB048_SDSSJ112626.45+423830.1t100988,SDSSJ112626.45+423830.1,B,15467,171.610228,42.641707,20.09,0,,0,
197.0,slitB049_SDSSJ112635.06+423633.6t100989,SDSSJ112635.06+423633.6,B,5904,171.646106,42.609342,21.96,?,,?,
197.0,slitB049_SDSSJ112635.06+423633.6t100989,SDSSJ112635.06+423633.6,B,16086,171.646106,42.609342,21.96,?,,?,
198.0,slitB050_SDSSJ112635.06+423633.6t100990,SDSSJ112635.06+423633.6,B,5904,171.646106,42.609342,21.96,?,,?,
198.0,slitB050_SDSSJ112635.06+423633.6t100990,SDSSJ112635.06+423633.6,B,16086,171.646106,42.609342,21.96,?,,?,
199.0,slitB051_SDSSJ112636.00+423611.4t100991,SDSSJ112636.00+423611.4,B,5910,171.650003,42.603173,22.56,?,,?,
199.0,slitB051_SDSSJ112636.00+423611.4t100991,SDSSJ112636.00+423611.4,B,16092,171.650003,42.603173,22.56,?,,?,
200.0,slitB052_SDSSJ112636.00+423611.4t100992,SDSSJ112636.00+423611.4,B,5910,171.650003,42.603173,22.56,?,,?,
200.0,slitB052_SDSSJ112636.00+423611.4t100992,SDSSJ112636.00+423611.4,B,16092,171.650003,42.603173,22.56,?,,?,
201.0,slitB053_SDSSJ112630.52+423708.2t100993,SDSSJ112630.52+423708.2,B,5810,171.627181,42.618961,21.79,?,,?,
