spectrum_#,spectrum_id,name,side,targetnum,ra,dec,i_mag,neel,sarayu,reagen,brenda
201.0,slitB053_SDSSJ112630.52+423708.2t100993,SDSSJ112630.52+423708.2,B,15992,171.627181,42.618961,21.79,?,,?,
202.0,slitB054_SDSSJ112630.52+423708.2t100994,SDSSJ112630.52+423708.2,B,5810,171.627181,42.618961,21.79,?,,?,
202.0,slitB054_SDSSJ112630.52+423708.2t100994,SDSSJ112630.52+423708.2,B,15992,171.627181,42.618961,21.79,?,,?,
203.0,slitB055_SDSSJ112628.85+423717.6t100995,SDSSJ112628.85+423717.6,B,5557,171.62024,42.621583,20.77,?,,?,
203.0,slitB055_SDSSJ112628.85+423717.6t100995,SDSSJ112628.85+423717.6,B,15736,171.62024,42.621583,20.77,?,,?,
204.0,slitB056_SDSSJ112628.85+423717.6t100996,SDSSJ112628.85+423717.6,B,5557,171.62024,42.621583,20.77,?,,?,
204.0,slitB056_SDSSJ112628.85+423717.6t100996,SDSSJ112628.85+423717.6,B,15736,171.62024,42.621583,20.77,?,,?,
205.0,slitB057_SDSSJ112622.23+423828.3t100997,SDSSJ112622.23+423828.3,B,5522,171.592629,42.6412,22.34,?,,?,
205.0,slitB057_SDSSJ112622.23+423828.3t100997,SDSSJ112622.23+423828.3,B,15701,171.592629,42.6412,22.34,?,,?,
206.0,slitB058_SDSSJ112622.23+423828.3t100998,SDSSJ112622.23+423828.3,B,5522,171.592629,42.6412,22.34,?,,?,
206.0,slitB058_SDSSJ112622.23+423828.3t100998,SDSSJ112622.23+423828.3,B,15701,171.592629,42.6412,22.34,?,,?,
207.0,slitB059_SDSSJ112623.31+423802.8t100999,SDSSJ112623.31+423802.8,B,5656,171.597134,42.634121,21.5,?,,?,
207.0,slitB059_SDSSJ112623.31+423802.8t100999,SDSSJ112623.31+423802.8,B,15835,171.597134,42.634121,21.5,?,,?,
208.0,slitB060_SDSSJ112623.31+423802.8t101000,SDSSJ112623.31+423802.8,B,5656,171.597134,42.634121,21.5,?,,?,
208.0,slitB060_SDSSJ112623.31+423802.8t101000,SDSSJ112623.31+423802.8,B,15835,171.597134,42.634121,21.5,?,,?,
209.0,slitB061_SDSSJ112639.72+423429.2t101001,SDSSJ112639.72+423429.2,B,11414,171.665532,42.57478,22.55,?,,?,
210.0,slitB062_SDSSJ112636.69+423455.4t101002,SDSSJ112636.69+423455.4,B,1420,171.652916,42.582059,21.97,?,,?,
211.0,slitB063_SDSSJ112626.10+423653.2t101003,SDSSJ112626.10+423653.2,B,5541,171.608765,42.614804,21.49,?,,?,
211.0,slitB063_SDSSJ112626.10+423653.2t101003,SDSSJ112626.10+423653.2,B,15720,171.608765,42.614804,21.49,?,,?,
212.0,slitB064_SDSSJ112626.10+423653.2t101004,SDSSJ112626.10+423653.2,B,5541,171.608765,42.614804,21.49,?,,?,
212.0,slitB064_SDSSJ112626.10+423653.2t101004,SDSSJ112626.10+423653.2,B,15720,171.608765,42.614804,21.49,?,,?,
213.0,slitB065_SDSSJ112632.18+423525.9t101005,SDSSJ112632.18+423525.9,B,5811,171.63409,42.590532,23.57,?,,?,
213.0,slitB065_SDSSJ112632.18+423525.9t101005,SDSSJ112632.18+423525.9,B,15993,171.63409,42.590532,23.57,?,,?,
214.0,slitB066_SDSSJ112632.18+423525.9t101006,SDSSJ112632.18+423525.9,B,5811,171.63409,42.590532,23.57,?,,?,
214.0,slitB066_SDSSJ112632.18+423525.9t101006,SDSSJ112632.18+423525.9,B,15993,171.63409,42.590532,23.57,?,,?,
215.0,slitB067_SDSSJ112616.13+423828.4t101007,SDSSJ112616.13+423828.4,B,5486,171.567246,42.641232,22.28,?,,?,
215.0,slitB067_SDSSJ112616.13+423828.4t101007,SDSSJ112616.13+423828.4,B,15665,171.567246,42.641232,22.28,?,,?,
216.0,slitB068_SDSSJ112616.13+423828.4t101008,SDSSJ112616.13+423828.4,B,5486,171.567246,42.641232,22.28,?,,?,
216.0,slitB068_SDSSJ112616.13+423828.4t101008,SDSSJ112616.13+423828.4,B,15665,171.567246,42.641232,22.28,?,,?,
217.0,slitB069_SDSSJ112619.89+423731.1t101009,SDSSJ112619.89+423731.1,B,5772,171.582905,42.625328,24.35,?,,?,
217.0,slitB069_SDSSJ112619.89+423731.1t101009,SDSSJ112619.89+423731.1,B,15952,171.582905,42.625328,24.35,?,,?,
218.0,slitB070_SDSSJ112619.89+423731.1t101010,SDSSJ112619.89+423731.1,B,5772,171.582905,42.625328,24.35,?,,?,
218.0,slitB070_SDSSJ112619.89+423731.1t101010,SDSSJ112619.89+423731.1,B,15952,171.582905,42.625328,24.35,?,,?,
219.0,slitB071_SDSSJ112628.52+423535.1t101011,SDSSJ112628.52+423535.1,B,5551,171.618873,42.59309,19.92,0.356,,0.356,
219.0,slitB071_SDSSJ112628.52+423535.1t101011,SDSSJ112628.52+423535.1,B,15730,171.618873,42.59309,19.92,0.356,,0.356,
220.0,slitB072_SDSSJ112628.52+423535.1t101012,SDSSJ112628.52+423535.1,B,5551,171.618873,42.59309,19.92,0.356,,0.356,
220.0,slitB072_SDSSJ112628.52+423535.1t101012,SDSSJ112628.52+423535.1,B,15730,171.618873,42.59309,19.92,0.356,,0.356,
221.0,slitB073_SDSSJ112639.67+423304.7t101013,SDSSJ112639.67+423304.7,B,12042,171.665317,42.551327,21.25,?,,?,
222.0,slitB074_SDSSJ112635.76+423342.5t101014,SDSSJ112635.76+423342.5,B,1807,171.649016,42.561814,21.38,?,,?,
223.0,slitB075_SDSSJ112637.84+423305.8t101015,SDSSJ112637.84+423305.8,B,1810,171.657688,42.551632,20.13,?,,?,
224.0,slitB076_SDSSJ112631.64+423410.5t101016,SDSSJ112631.64+423410.5,B,1415,171.631845,42.569597,24.08,?,,?,
225.0,slitB077_SDSSJ112622.17+423552.7t101017,SDSSJ112622.17+423552.7,B,5510,171.592375,42.597998,21.64,0,,0,
225.0,slitB077_SDSSJ112622.17+423552.7t101017,SDSSJ112622.17+423552.7,B,15689,171.592375,42.597998,21.64,0,,0,
226.0,slitB078_SDSSJ112622.17+423552.7t101018,SDSSJ112622.17+423552.7,B,5510,171.592375,42.597998,21.64,0,,0,
226.0,slitB078_SDSSJ112622.17+423552.7t101018,SDSSJ112622.17+423552.7,B,15689,171.592375,42.597998,21.64,0,,0,
227.0,slitB079_SDSSJ112636.97+423238.9t101019,SDSSJ112636.97+423238.9,B,1818,171.65408,42.544151,21.86,?,,?,
228.0,slitB080_SDSSJ112630.62+423346.3t101020,SDSSJ112630.62+423346.3,B,1816,171.627618,42.562865,22.27,?,,?,
229.0,slitB081_SDSSJ112613.97+423659.6t101021,SDSSJ112613.97+423659.6,B,5464,171.558223,42.616572,21.11,0.292,,0.358,
229.0,slitB081_SDSSJ112613.97+423659.6t101021,SDSSJ112613.97+423659.6,B,15643,171.558223,42.616572,21.11,0.292,,0.358,
230.0,slitB082_SDSSJ112613.97+423659.6t101022,SDSSJ112613.97+423659.6,B,5464,171.558223,42.616572,21.11,0.292,,0.3575,
230.0,slitB082_SDSSJ112613.97+423659.6t101022,SDSSJ112613.97+423659.6,B,15643,171.558223,42.616572,21.11,0.292,,0.3575,
231.0,slitB083_SDSSJ112629.55+423335.5t101023,SDSSJ112629.55+423335.5,B,1797,171.623166,42.559868,22.0,?,,?,
232.0,slitB084_SDSSJ112625.76+423411.7t101024,SDSSJ112625.76+423411.7,B,5520,171.607347,42.569944,22.15,?,,?,
232.0,slitB084_SDSSJ112625.76+423411.7t101024,SDSSJ112625.76+423411.7,B,15699,171.607347,42.569944,22.15,?,,?,
233.0,slitB085_SDSSJ112625.76+423411.7t101025,SDSSJ112625.76+423411.7,B,5520,171.607347,42.569944,22.15,?,,?,
233.0,slitB085_SDSSJ112625.76+423411.7t101025,SDSSJ112625.76+423411.7,B,15699,171.607347,42.569944,22.15,?,,?,
234.0,slitB086_SDSSJ112610.75+423704.6t101026,SDSSJ112610.75+423704.6,B,5447,171.544817,42.617948,21.44,?,,?,
234.0,slitB086_SDSSJ112610.75+423704.6t101026,SDSSJ112610.75+423704.6,B,15626,171.544817,42.617948,21.44,?,,?,
235.0,slitB087_SDSSJ112610.75+423704.6t101027,SDSSJ112610.75+423704.6,B,5447,171.544817,42.617948,21.44,?,,?,
235.0,slitB087_SDSSJ112610.75+423704.6t101027,SDSSJ112610.75+423704.6,B,15626,171.544817,42.617948,21.44,?,,?,
236.0,slitB088_SDSSJ112609.26+423712.1t101028,SDSSJ112609.26+423712.1,B,5766,171.53861,42.620037,24.23,?,,?,
236.0,slitB088_SDSSJ112609.26+423712.1t101028,SDSSJ112609.26+423712.1,B,15946,171.53861,42.620037,24.23,?,,?,
237.0,slitB089_SDSSJ112609.26+423712.1t101029,SDSSJ112609.26+423712.1,B,5766,171.53861,42.620037,24.23,?,,?,
237.0,slitB089_SDSSJ112609.26+423712.1t101029,SDSSJ112609.26+423712.1,B,15946,171.53861,42.620037,24.23,?,,?,
238.0,slitB090_SDSSJ112624.57+423352.1t101030,SDSSJ112624.57+423352.1,B,5644,171.602394,42.564482,23.37,?,,?,
238.0,slitB090_SDSSJ112624.57+423352.1t101030,SDSSJ112624.57+423352.1,B,15823,171.602394,42.564482,23.37,?,,?,
239.0,slitB091_SDSSJ112624.57+423352.1t101031,SDSSJ112624.57+423352.1,B,5644,171.602394,42.564482,23.37,?,,?,
239.0,slitB091_SDSSJ112624.57+423352.1t101031,SDSSJ112624.57+423352.1,B,15823,171.602394,42.564482,23.37,?,,?,
240.0,slitB092_SDSSJ112619.44+423443.1t101032,SDSSJ112619.44+423443.1,B,5485,171.581041,42.578649,19.75,?,,?,
240.0,slitB092_SDSSJ112619.44+423443.1t101032,SDSSJ112619.44+423443.1,B,15664,171.581041,42.578649,19.75,?,,?,
241.0,slitB093_SDSSJ112619.44+423443.1t101033,SDSSJ112619.44+423443.1,B,5485,171.581041,42.578649,19.75,?,,0.243,
241.0,slitB093_SDSSJ112619.44+423443.1t101033,SDSSJ112619.44+423443.1,B,15664,171.581041,42.578649,19.75,?,,0.243,
242.0,slitB094_SDSSJ112614.97+423527.6t101034,SDSSJ112614.97+423527.6,B,5462,171.56238,42.591001,22.97,?,,?,
242.0,slitB094_SDSSJ112614.97+423527.6t101034,SDSSJ112614.97+423527.6,B,15641,171.56238,42.591001,22.97,?,,?,
243.0,slitB095_SDSSJ112614.97+423527.6t101035,SDSSJ112614.97+423527.6,B,5462,171.56238,42.591001,22.97,?,,?,
243.0,slitB095_SDSSJ112614.97+423527.6t101035,SDSSJ112614.97+423527.6,B,15641,171.56238,42.591001,22.97,?,,?,
244.0,slitB096_SDSSJ112617.19+423449.2t101036,SDSSJ112617.19+423449.2,B,5731,171.571642,42.580352,22.23,?,,?,
244.0,slitB096_SDSSJ112617.19+423449.2t101036,SDSSJ112617.19+423449.2,B,15911,171.571642,42.580352,22.23,?,,?,
245.0,slitB097_SDSSJ112617.19+423449.2t101037,SDSSJ112617.19+423449.2,B,5731,171.571642,42.580352,22.23,?,,?,
245.0,slitB097_SDSSJ112617.19+423449.2t101037,SDSSJ112617.19+423449.2,B,15911,171.571642,42.580352,22.23,?,,?,
246.0,slitB098_SDSSJ112613.64+423522.4t101038,SDSSJ112613.64+423522.4,B,5454,171.556844,42.589569,22.84,?,,?,
246.0,slitB098_SDSSJ112613.64+423522.4t101038,SDSSJ112613.64+423522.4,B,15633,171.556844,42.589569,22.84,?,,?,
247.0,slitB099_SDSSJ112613.64+423522.4t101039,SDSSJ112613.64+423522.4,B,5454,171.556844,42.589569,22.84,?,,?,
247.0,slitB099_SDSSJ112613.64+423522.4t101039,SDSSJ112613.64+423522.4,B,15633,171.556844,42.589569,22.84,?,,?,
248.0,slitB100_SDSSJ112616.59+423435.6t101040,SDSSJ112616.59+423435.6,B,5727,171.569145,42.576565,22.37,?,,?,
248.0,slitB100_SDSSJ112616.59+423435.6t101040,SDSSJ112616.59+423435.6,B,15907,171.569145,42.576565,22.37,?,,?,
249.0,slitB101_SDSSJ112616.59+423435.6t101041,SDSSJ112616.59+423435.6,B,5727,171.569145,42.576565,22.37,?,,?,
249.0,slitB101_SDSSJ112616.59+423435.6t101041,SDSSJ112616.59+423435.6,B,15907,171.569145,42.576565,22.37,?,,?,
250.0,slitB102_SDSSJ112618.08+423403.2t101042,SDSSJ112618.08+423403.2,B,5254,171.575373,42.567573,23.67,?,,?,
250.0,slitB102_SDSSJ112618.08+423403.2t101042,SDSSJ112618.08+423403.2,B,15433,171.575373,42.567573,23.67,?,,?,
251.0,slitB103_SDSSJ112618.08+423403.2t101043,SDSSJ112618.08+423403.2,B,5254,171.575373,42.567573,23.67,?,,?,
251.0,slitB103_SDSSJ112618.08+423403.2t101043,SDSSJ112618.08+423403.2,B,15433,171.575373,42.567573,23.67,?,,?,
252.0,slitB104_SDSSJ112619.52+423334.0t101044,SDSSJ112619.52+423334.0,B,6963,171.581339,42.55946,20.78,0.275,,0.275,
252.0,slitB104_SDSSJ112619.52+423334.0t101044,SDSSJ112619.52+423334.0,B,17095,171.581339,42.55946,20.78,0.275,,0.275,
253.0,slitB105_SDSSJ112619.52+423334.0t101045,SDSSJ112619.52+423334.0,B,6963,171.581339,42.55946,20.78,0.275,,0.275,
253.0,slitB105_SDSSJ112619.52+423334.0t101045,SDSSJ112619.52+423334.0,B,17095,171.581339,42.55946,20.78,0.275,,0.275,
254.0,slitB106_SDSSJ112615.35+423410.6t101046,SDSSJ112615.35+423410.6,B,5725,171.563979,42.569612,22.82,?,,?,
254.0,slitB106_SDSSJ112615.35+423410.6t101046,SDSSJ112615.35+423410.6,B,15905,171.563979,42.569612,22.82,?,,?,
255.0,slitB107_SDSSJ112615.35+423410.6t101047,SDSSJ112615.35+423410.6,B,5725,171.563979,42.569612,22.82,?,,?,
255.0,slitB107_SDSSJ112615.35+423410.6t101047,SDSSJ112615.35+423410.6,B,15905,171.563979,42.569612,22.82,?,,?,
256.0,slitB108_SDSSJ112610.70+423455.8t101048,SDSSJ112610.70+423455.8,B,5434,171.54459,42.582182,22.48,?,,0.594,
256.0,slitB108_SDSSJ112610.70+423455.8t101048,SDSSJ112610.70+423455.8,B,15613,171.54459,42.582182,22.48,?,,0.594,
257.0,slitB109_SDSSJ112610.70+423455.8t101049,SDSSJ112610.70+423455.8,B,5434,171.54459,42.582182,22.48,?,,0.594,
257.0,slitB109_SDSSJ112610.70+423455.8t101049,SDSSJ112610.70+423455.8,B,15613,171.54459,42.582182,22.48,?,,0.594,
258.0,slitB110_SDSSJ112611.42+423432.2t101050,SDSSJ112611.42+423432.2,B,5721,171.547594,42.575618,22.73,?,,?,
258.0,slitB110_SDSSJ112611.42+423432.2t101050,SDSSJ112611.42+423432.2,B,15901,171.547594,42.575618,22.73,?,,?,
259.0,slitB111_SDSSJ112611.42+423432.2t101051,SDSSJ112611.42+423432.2,B,5721,171.547594,42.575618,22.73,0.465,,?,
259.0,slitB111_SDSSJ112611.42+423432.2t101051,SDSSJ112611.42+423432.2,B,15901,171.547594,42.575618,22.73,0.465,,?,
260.0,slitB112_SDSSJ112606.74+423518.8t101052,SDSSJ112606.74+423518.8,B,5712,171.528109,42.588571,22.78,?,,?,
260.0,slitB112_SDSSJ112606.74+423518.8t101052,SDSSJ112606.74+423518.8,B,15891,171.528109,42.588571,22.78,?,,?,
261.0,slitB113_SDSSJ112606.74+423518.8t101053,SDSSJ112606.74+423518.8,B,5712,171.528109,42.588571,22.78,?,,?,
261.0,slitB113_SDSSJ112606.74+423518.8t101053,SDSSJ112606.74+423518.8,B,15891,171.528109,42.588571,22.78,?,,?,
262.0,slitB114_SDSSJ112604.71+423528.0t101054,SDSSJ112604.71+423528.0,B,5596,171.51965,42.591128,21.82,?,,?,
262.0,slitB114_SDSSJ112604.71+423528.0t101054,SDSSJ112604.71+423528.0,B,15775,171.51965,42.591128,21.82,?,,?,
263.0,slitB115_SDSSJ112604.71+423528.0t101055,SDSSJ112604.71+423528.0,B,5596,171.51965,42.591128,21.82,?,,?,
263.0,slitB115_SDSSJ112604.71+423528.0t101055,SDSSJ112604.71+423528.0,B,15775,171.51965,42.591128,21.82,?,,?,
264.0,slitB116_SDSSJ112605.69+423502.4t101056,SDSSJ112605.69+423502.4,B,5414,171.523715,42.584007,19.77,0.3475,,0.3475,
264.0,slitB116_SDSSJ112605.69+423502.4t101056,SDSSJ112605.69+423502.4,B,15593,171.523715,42.584007,19.77,0.3475,,0.3475,
265.0,slitB117_SDSSJ112605.69+423502.4t101057,SDSSJ112605.69+423502.4,B,5414,171.523715,42.584007,19.77,0.3475,,0.3475,
265.0,slitB117_SDSSJ112605.69+423502.4t101057,SDSSJ112605.69+423502.4,B,15593,171.523715,42.584007,19.77,0.3475,,0.3475,
266.0,slitB118_SDSSJ112603.29+423516.3t101058,SDSSJ112603.29+423516.3,B,5247,171.513713,42.587867,22.87,?,,?,
266.0,slitB118_SDSSJ112603.29+423516.3t101058,SDSSJ112603.29+423516.3,B,15424,171.513713,42.587867,22.87,?,,?,
267.0,slitB119_SDSSJ112603.29+423516.3t101059,SDSSJ112603.29+423516.3,B,5247,171.513713,42.587867,22.87,?,,?,
267.0,slitB119_SDSSJ112603.29+423516.3t101059,SDSSJ112603.29+423516.3,B,15424,171.513713,42.587867,22.87,?,,?,
268.0,slitB120_SDSSJ112558.97+423558.6t101060,SDSSJ112558.97+423558.6,B,5706,171.495727,42.599631,22.26,0.6064,,0.6085,
268.0,slitB120_SDSSJ112558.97+423558.6t101060,SDSSJ112558.97+423558.6,B,15885,171.495727,42.599631,22.26,0.6064,,0.6085,
269.0,slitB121_SDSSJ112558.97+423558.6t101061,SDSSJ112558.97+423558.6,B,5706,171.495727,42.599631,22.26,maybe 0.6084,,0.6085,
269.0,slitB121_SDSSJ112558.97+423558.6t101061,SDSSJ112558.97+423558.6,B,15885,171.495727,42.599631,22.26,maybe 0.6084,,0.6085,
270.0,slitB122_SDSSJ112558.13+423541.8t101062,SDSSJ112558.13+423541.8,B,5373,171.492216,42.594959,19.72,0.358,,0.358,
270.0,slitB122_SDSSJ112558.13+423541.8t101062,SDSSJ112558.13+423541.8,B,15552,171.492216,42.594959,19.72,0.358,,0.358,
271.0,slitB123_SDSSJ112558.13+423541.8t101063,SDSSJ112558.13+423541.8,B,5373,171.492216,42.594959,19.72,0.358,,0.358,
271.0,slitB123_SDSSJ112558.13+423541.8t101063,SDSSJ112558.13+423541.8,B,15552,171.492216,42.594959,19.72,0.358,,0.358,
272.0,slitB124_SDSSJ112605.78+423335.5t101064,SDSSJ112605.78+423335.5,B,12624,171.524104,42.559889,23.5,?,,?,
273.0,slitB125_SDSSJ112604.30+423342.8t101065,SDSSJ112604.30+423342.8,B,12620,171.517941,42.561915,22.31,?,,?,
274.0,slitB126_SDSSJ112607.10+423253.5t101066,SDSSJ112607.10+423253.5,B,13222,171.529623,42.548195,20.31,0.341,,0.341,
275.0,slitB127_SDSSJ112602.01+423341.4t101067,SDSSJ112602.01+423341.4,B,12615,171.508393,42.561515,21.61,?,,?,
276.0,slitB128_SDSSJ112600.47+423340.5t101068,SDSSJ112600.47+423340.5,B,12613,171.501969,42.561277,22.5,0.3408,,0.274,
277.0,slitB129_SDSSJ112602.18+423306.5t101069,SDSSJ112602.18+423306.5,B,13408,171.50911,42.551825,22.18,?,,?,
278.0,slitB130_SDSSJ112605.62+423214.3t101070,SDSSJ112605.62+423214.3,B,13344,171.523436,42.537328,19.81,?,,?,
279.0,slitB131_SDSSJ112600.08+423311.7t101071,SDSSJ112600.08+423311.7,B,12612,171.500372,42.553262,20.32,0.1083,,?,
280.0,slitB132_SDSSJ112605.06+423159.8t101072,SDSSJ112605.06+423159.8,B,13409,171.521092,42.533305,22.24,0.138,,0.179,
281.0,slitB133_SDSSJ112600.05+423247.4t101073,SDSSJ112600.05+423247.4,B,13406,171.500245,42.54651,22.04,?,,?,
282.0,slitB134_SDSSJ112557.32+423307.6t101074,SDSSJ112557.32+423307.6,B,12618,171.488845,42.552117,22.21,?,,0.448,
283.0,slitB135_SDSSJ112607.93+423041.3t101075,SDSSJ112607.93+423041.3,B,13346,171.533047,42.511476,21.81,?,,?,
284.0,slitB136_SDSSJ112602.70+423134.4t101076,SDSSJ112602.70+423134.4,B,13407,171.51129,42.526237,22.14,?,,?,
285.0,slitB137_SDSSJ112601.85+423130.6t101077,SDSSJ112601.85+423130.6,B,13326,171.507713,42.525167,20.19,?,,?,
286.0,slitB138_SDSSJ112603.13+423103.3t101078,SDSSJ112603.13+423103.3,B,13329,171.513065,42.517597,21.31,0.38517,,0.385,
287.0,slitB139_SDSSJ112556.29+423212.8t101079,SDSSJ112556.29+423212.8,B,13304,171.484573,42.536895,22.5,?,,?,
288.0,slitB140_SDSSJ112554.09+423228.5t101080,SDSSJ112554.09+423228.5,B,13294,171.475406,42.541278,21.46,0.3376,,0.338,
289.0,slitB141_SDSSJ112607.58+422926.1t101081,SDSSJ112607.58+422926.1,B,13342,171.531622,42.490586,21.57,?,,0.114,
290.0,slitB142_SDSSJ112608.53+422858.4t101082,SDSSJ112608.53+422858.4,B,13345,171.535559,42.482892,21.38,?,,?,
291.0,slitB143_SDSSJ112603.65+422947.1t101083,SDSSJ112603.65+422947.1,B,13327,171.515224,42.496425,21.96,?,,?,
292.0,slitB144_SDSSJ112601.02+423007.2t101084,SDSSJ112601.02+423007.2,B,13442,171.504262,42.502027,24.61,?,,?,
293.0,slitB145_SDSSJ112557.05+423044.5t101085,SDSSJ112557.05+423044.5,B,13217,171.487745,42.512378,21.18,?,,?,
294.0,slitB146_SDSSJ112558.20+423018.7t101086,SDSSJ112558.20+423018.7,B,13398,171.4925,42.505218,22.84,?,,?,
295.0,slitB147_SDSSJ112601.02+422933.5t101087,SDSSJ112601.02+422933.5,B,13318,171.50429,42.49266,23.41,?,,?,
296.0,slitB148_SDSSJ112550.58+423128.6t101088.fits,SDSSJ112550.58+423128.6,B,13264,171.460786,42.524618,21.28,?,,0.3655,
297.0,slitB149_SDSSJ112556.54+423003.4t101089.fits,SDSSJ112556.54+423003.4,B,13206,171.485584,42.500958,22.45,0.175,,0.175,
