slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
113,1172,SDSSJ112627.98+422407.7,171.61658561,42.40216199,0,0,20.2573299407959,5,2000,TARGET,4320.13787932275,9710.97196914313,A
114,1173,SDSSJ112630.96+422330.2,171.62902817,42.39173095,0,0,20.443340301513672,5,2000,TARGET,4555.560762644358,9946.509150800628,A
117,1176,SDSSJ112632.88+422331.2,171.63701818,42.39201407,0,0,20.595060348510742,5,2000,TARGET,4591.074666225407,9982.040906644765,A
115,1174,SDSSJ112630.95+422435.0,171.62898044,42.40973619,0,0,20.450979232788086,5,2000,TARGET,4257.035854142892,9647.840912133972,A
224,3129,SDSSJ112622.69+422828.4,171.59457388,42.47457571,0,0,18.36467933654785,5,2000,TARGET,3007.987124106785,8398.189050504187,A
121,1180,SDSSJ112637.96+422302.4,171.65819347,42.38402578,0,0,19.09922981262207,5,2000,TARGET,4830.042273908903,10221.125261195659,A
112,1149,SDSSJ112637.49+422355.1,171.65621183,42.39864633,0,0,20.293659210205078,5,2000,TARGET,4578.108019241593,9969.06977659805,A
111,1148,SDSSJ112631.99+422649.6,171.63333015,42.44712845,0,0,19.682470321655273,5,2000,TARGET,3659.6786234518013,9050.197073020254,A
110,1142,SDSSJ112633.76+422630.3,171.64069199,42.4417652,0,0,19.40382957458496,5,2000,TARGET,3785.8540905808195,9176.43378017322,A
125,1185,SDSSJ112640.99+422339.9,171.67079219,42.39442571,0,0,20.342079162597656,5,2000,TARGET,4721.676518489878,10112.708458169316,A
231,3142,SDSSJ112638.46+422501.8,171.66028833,42.4171826,0,0,20.156269073486328,5,2000,TARGET,4292.085839594929,9682.910426517863,A
235,3146,SDSSJ112643.49+422339.4,171.68122768,42.39428059,0,0,20.102279663085938,5,2000,TARGET,4776.947565100051,10168.00685077749,A
233,3144,SDSSJ112639.58+422537.8,171.66492223,42.42717901,0,0,19.67095947265625,5,2000,TARGET,4150.270023433905,9541.02673852068,A
236,3147,SDSSJ112643.04+422437.3,171.6793453,42.41038413,0,0,20.52787971496582,5,2000,TARGET,4501.227559573646,9892.154081885552,A
228,3137,SDSSJ112632.46+422927.2,171.63525938,42.49088978,0,0,20.232389450073242,5,2000,TARGET,2944.4546505765516,8334.62927529215,A
237,3148,SDSSJ112638.06+422735.1,171.6586027,42.45975806,0,0,20.54793930053711,5,2000,TARGET,3579.1662054929793,8969.647726094881,A
241,3153,SDSSJ112643.25+422548.8,171.68022444,42.43023546,0,0,19.9107608795166,5,2000,TARGET,4177.605683736615,9568.376524639132,A
240,3152,SDSSJ112642.14+422631.8,171.67560323,42.4421937,0,0,20.340999603271484,5,2000,TARGET,3956.3822106731272,9347.046296901934,A
238,3149,SDSSJ112636.17+423008.4,171.65072027,42.5023454,0,0,19.780040740966797,5,2000,TARGET,2833.7561776327743,8223.878409016357,A
76,77,SDSSJ112647.99+422547.7,171.6999977,42.4299213,0,0,19.605239868164062,5,2000,TARGET,4283.69547168337,9674.518433285399,A
242,3154,SDSSJ112639.85+422950.4,171.66605472,42.49736026,0,0,19.576810836791992,5,2000,TARGET,2994.989834379126,8385.19045224524,A
59,60,SDSSJ112645.42+422756.1,171.68927283,42.46560959,0,0,20.39413070678711,5,2000,TARGET,3639.2443221922827,9029.756333626869,A
102,181,SDSSJ112653.63+422442.0,171.72346301,42.41168025,0,0,19.751670837402344,5,2000,TARGET,4704.752740737402,10095.77956991506,A
81,85,SDSSJ112648.85+422710.7,171.70354649,42.45299482,0,0,19.689369201660156,5,2000,TARGET,3920.834043627579,9311.482310237378,A
82,86,SDSSJ112650.12+422650.6,171.70884268,42.44741128,0,0,19.54084014892578,5,2000,TARGET,4040.1911464652417,9430.897133570805,A
64,65,SDSSJ112653.78+422548.8,171.72412064,42.43024054,0,0,20.223649978637695,5,2000,TARGET,4401.926464653663,9792.807347223032,A
78,82,SDSSJ112649.69+422747.6,171.70705114,42.46323317,0,0,18.63991928100586,5,2000,TARGET,3769.748424418868,9160.32397323461,A
60,61,SDSSJ112648.84+422833.0,171.70353584,42.47585234,0,0,20.419729232788086,5,2000,TARGET,3543.2500754513126,8933.716304046733,A
84,88,SDSSJ112653.38+422704.3,171.72244601,42.4512132,0,0,19.956119537353516,5,2000,TARGET,4047.2927357606623,9438.0025587683,A
66,67,SDSSJ112646.79+423013.5,171.69497081,42.50375724,0,0,19.16731071472168,5,2000,TARGET,3037.944877650941,8428.167175568567,A
147,2176,SDSSJ112645.90+423101.1,171.69126,42.51699973,0,0,20.221269607543945,5,2000,TARGET,2799.7611256065193,8189.86843967534,A
149,2178,SDSSJ112646.80+423114.6,171.69503814,42.52074968,0,0,19.916290283203125,5,2000,TARGET,2757.243034904975,8147.32990839281,A
95,171,SDSSJ112702.25+422502.8,171.75937914,42.41745643,0,0,19.120330810546875,5,2000,TARGET,4793.864073742004,10184.934841331406,A
86,90,SDSSJ112658.74+422648.4,171.74477715,42.44678725,0,0,20.302379608154297,5,2000,TARGET,4235.262170151212,9626.063122193491,A
14,14,64.0,171.7380624,42.469385,0,0,18.994394302368164,1,2000,TARGET,3827.96572765061,9218.569989483854,A
15,15,65.0,171.740059,42.4699909,0,0,19.01871681213379,1,2000,TARGET,3828.2853845530713,9218.889818633335,A
103,185,SDSSJ112706.41+422456.6,171.77671227,42.41572564,0,0,19.512109756469727,5,2000,TARGET,4911.716151959146,10302.843988114868,A
12,12,62.0,171.7476386,42.4695897,0,0,19.04693603515625,1,2000,TARGET,3874.082078487562,9264.708673103076,A
96,172,SDSSJ112707.68+422500.9,171.78201166,42.41694104,0,0,19.614309310913086,5,2000,TARGET,4919.071177013854,10310.202582397453,A
131,2153,SDSSJ112656.10+423019.9,171.73376116,42.50554664,0,0,19.872020721435547,5,2000,TARGET,3208.977541073859,8599.282854303492,A
18,18,68.0,171.7589922,42.4684574,0,0,20.054931640625,1,2000,TARGET,3951.5110620834157,9342.175065419247,A
19,19,69.0,171.7604152,42.4698275,0,0,20.01055145263672,1,2000,TARGET,3936.3019776194055,9326.958627654427,A
17,17,67.0,171.7626264,42.4698934,0,0,20.26719093322754,1,2000,TARGET,3946.675066066252,9337.336718082679,A
33,33,128.0,171.7639032,42.4823027,0,0,20.42308807373047,1,2000,TARGET,3748.784569580085,9139.35057014434,A
50,50,114931,171.761742,42.494106,0,0,20.381999969482422,1,2000,TARGET,3542.9876735697,8933.454213128796,A
152,2181,SDSSJ112703.19+422941.1,171.7633285,42.49476113,0,0,20.070369720458984,5,2000,TARGET,3540.434441608013,8930.899724653333,A
35,35,130.0,171.7739483,42.4819124,0,0,20.369003295898438,1,2000,TARGET,3807.4056085447155,9197.999815204497,A
31,31,120.0,171.7774025,42.4796378,0,0,20.37301254272461,1,2000,TARGET,3862.838514618267,9253.459468231044,A
3,3,8.0,171.7942464,42.4543401,0,0,19.59749984741211,1,2000,TARGET,4366.930084831271,9757.794514449324,A
5,5,16.0,171.7956672,42.4560009,0,0,19.990631103515625,1,2000,TARGET,4346.9848537950675,9737.839608577147,A
6,6,17.0,171.7981903,42.4556843,0,0,20.072301864624023,1,2000,TARGET,4365.316926978515,9756.180495311257,A
2,2,5.0,171.8023582,42.4522331,0,0,20.351926803588867,1,2000,TARGET,4443.784267605926,9834.685699378657,A
93,121,SDSSJ112716.93+422529.6,171.82058198,42.42491089,0,0,20.55714988708496,5,2000,TARGET,4987.903817429581,10379.068046074854,A
132,2154,SDSSJ112707.51+422948.5,171.78130937,42.49682548,0,0,19.809059143066406,5,2000,TARGET,3600.0328994612078,8990.526643077443,A
154,2183,SDSSJ112705.76+423047.2,171.77403221,42.51311119,0,0,20.231210708618164,5,2000,TARGET,3293.6715560201033,8684.017257623425,A
11,11,55.0,171.8031496,42.4675891,0,0,19.588022232055664,1,2000,TARGET,4195.252192168393,9586.033351752754,A
92,120,SDSSJ112714.80+422737.7,171.81167844,42.4604948,0,0,19.561180114746094,5,2000,TARGET,4356.430541724019,9747.289447111845,A
142,2169,SDSSJ112713.78+422816.5,171.80743082,42.47126948,0,0,19.71139907836914,5,2000,TARGET,4157.026976279412,9547.789501987421,A
21,21,79.0,171.810162,42.470574,0,0,20.038715362548828,1,2000,TARGET,4182.723559611979,9573.498432035405,A
32,32,127.0,171.8098426,42.481574,0,0,19.265836715698242,1,2000,TARGET,4000.083982961819,9390.770442866016,A
36,36,132.0,171.8127133,42.4829533,0,0,19.848825454711914,1,2000,TARGET,3992.399250911536,9383.081876904258,A
29,29,115.0,171.8188551,42.476085,0,0,20.360610961914062,1,2000,TARGET,4137.499887749338,9528.252531817798,A
4,4,13.0,171.832697,42.4558183,0,0,18.442066192626953,1,2000,TARGET,4543.091595789447,9934.040091502082,A
7,7,34.0,171.8326812,42.4607922,0,0,19.882230758666992,1,2000,TARGET,4461.26238422339,9852.171245031312,A
10,10,53.0,171.8351178,42.4664458,0,0,18.910696029663086,1,2000,TARGET,4381.1012657725,9771.971179467082,A
40,40,152.0,171.8199836,42.4966867,0,0,18.88813018798828,1,2000,TARGET,3804.534434732604,9195.125731183953,A
41,41,109556,171.804498,42.528574,0,0,20.430999755859375,1,2000,TARGET,3198.335913046407,8588.634248233846,A
37,37,137.0,171.8335312,42.4856367,0,0,18.814746856689453,1,2000,TARGET,4057.3309217079673,9448.0440225149,A
56,56,121835,171.860059,42.445746,0,0,19.333999633789062,1,2000,TARGET,4851.907142196886,10243.003913574941,A
197,2268,SDSSJ112726.48+422658.0,171.86034584,42.44945434,0,0,20.217910766601562,5,2000,TARGET,4792.527515379896,10183.595485847118,A
188,2244,SDSSJ112723.83+422842.8,171.84932818,42.47857687,0,0,19.940139770507812,5,2000,TARGET,4256.336704737819,9647.145368855186,A
47,47,111783,171.835026,42.515607,0,0,20.593000411987305,1,2000,TARGET,3572.3435829221116,8962.821453024431,A
49,49,112819,171.841411,42.509197,0,0,20.68199920654297,1,2000,TARGET,3711.399434338271,9101.944327911018,A
55,55,112819,171.841411,42.509197,0,0,20.68199920654297,1,2000,TARGET,3711.399434338271,9101.944327911018,A
44,44,113026,171.847517,42.506334,0,0,19.22100067138672,1,2000,TARGET,3790.649473930622,9181.23239335341,A
52,52,113026,171.847517,42.506334,0,0,19.22100067138672,1,2000,TARGET,3790.649473930622,9181.23239335341,A
51,51,118788,171.873325,42.471015,0,0,18.9950008392334,1,2000,TARGET,4506.885929151761,9897.814511965367,A
53,53,119492,171.878237,42.466338,0,0,20.349000930786133,1,2000,TARGET,4609.564921713323,10000.542967230198,A
45,45,110589,171.850884,42.521421,0,0,20.20800018310547,1,2000,TARGET,3560.381540611319,8950.85247491289,A
201,2272,SDSSJ112731.00+422833.7,171.87919684,42.47605322,0,0,20.01913070678711,5,2000,TARGET,4455.186256788389,9846.089303099297,A
128,1202,SDSSJ112720.65+423317.6,171.83604751,42.55490154,0,0,20.046520233154297,5,2000,TARGET,2930.990013594147,8321.156607823139,A
208,2280,SDSSJ112735.93+422701.8,171.89974552,42.45051762,0,0,20.388559341430664,5,2000,TARGET,4982.734645391007,10373.892136951767,A
126,1193,SDSSJ112724.67+423209.4,171.85281795,42.53595933,0,0,18.697660446166992,5,2000,TARGET,3331.518477406661,8721.878153789874,A
178,2214,SDSSJ112721.64+423358.9,171.84016792,42.56638759,0,0,18.614500045776367,5,2000,TARGET,2763.6070245283913,8153.692004152582,A
207,2279,SDSSJ112733.73+422904.9,171.89058253,42.48472047,0,0,20.498640060424805,5,2000,TARGET,4373.185148466715,9764.047427196314,A
193,2251,SDSSJ112734.76+422850.4,171.89485979,42.48067353,0,0,19.985820770263672,5,2000,TARGET,4462.247465078854,9853.152620572833,A
210,2282,SDSSJ112735.82+422900.3,171.89926231,42.48343986,0,0,20.339519500732422,5,2000,TARGET,4440.210604510738,9831.104651016765,A
203,2274,SDSSJ112727.27+423305.9,171.86363558,42.55165464,0,0,19.642269134521484,5,2000,TARGET,3130.691133986123,8520.95229211514,A
211,2283,SDSSJ112734.78+423014.6,171.89493154,42.50407861,0,0,20.399829864501953,5,2000,TARGET,4078.5889427815364,9469.307689674872,A
215,2290,SDSSJ112740.40+422800.9,171.91834297,42.46692305,0,0,20.01991081237793,5,2000,TARGET,4812.373099120658,10203.44614662294,A
205,2277,SDSSJ112729.34+423303.1,171.87228184,42.5508886,0,0,19.47113037109375,5,2000,TARGET,3189.2427709258777,8579.531533704034,A
217,2292,SDSSJ112742.14+422751.5,171.9255943,42.46430638,0,0,20.335369110107422,5,2000,TARGET,4893.828113666255,10284.940018965453,A
214,2287,SDSSJ112737.69+423002.7,171.90707928,42.50075291,0,0,19.921030044555664,5,2000,TARGET,4197.7391837523355,9588.51461455306,A
213,2286,SDSSJ112736.51+423106.4,171.90212625,42.51845537,0,0,20.08353042602539,5,2000,TARGET,3880.8992984592946,9271.521203577284,A
218,2294,SDSSJ112744.31+422809.1,171.93465834,42.4692188,0,0,20.498680114746094,5,2000,TARGET,4861.614739828532,10252.710014634176,A
82,1401,SDSSJ112653.11+421254.0,171.72131494,42.2150097,0,0,18.431720733642578,5,2000,TARGET,3103.325411929238,8493.57137884153,B
24,815,SDSSJ112643.59+421745.0,171.6816501,42.29584689,0,0,20.208730697631836,5,2000,TARGET,4642.19827408165,10033.188269055525,B
83,1402,SDSSJ112654.63+421321.9,171.7276313,42.22276761,0,0,18.47599983215332,5,2000,TARGET,3196.8445606726727,8587.136677695276,B
88,1419,SDSSJ112655.88+421308.3,171.73285794,42.21899623,0,0,19.907089233398438,5,2000,TARGET,3106.80198715262,8497.050870841314,B
89,1420,SDSSJ112658.81+421206.3,171.74508154,42.20176192,0,0,20.29715919494629,5,2000,TARGET,2757.7124852824013,8147.792926695469,B
2,80,SDSSJ112650.36+421602.2,171.70986657,42.26729778,0,0,20.057710647583008,5,2000,TARGET,4023.041451031694,9413.733358377052,B
90,1421,SDSSJ112658.42+421245.6,171.74344536,42.21268224,0,0,20.105989456176758,5,2000,TARGET,2946.184700327622,8336.356576892209,B
1,79,SDSSJ112648.84+421733.9,171.70352678,42.29275856,0,0,18.927400588989258,5,2000,TARGET,4474.332599195378,9865.243188489561,B
26,819,SDSSJ112645.96+421908.5,171.69150286,42.31903669,0,0,18.253009796142578,5,2000,TARGET,4969.0843139369135,10360.234148265074,B
10,103,SDSSJ112651.82+421655.5,171.71592351,42.28209209,0,0,20.182090759277344,5,2000,TARGET,4233.231673859608,9624.026275008162,B
35,828,SDSSJ112657.72+421440.2,171.74052174,42.2445219,0,0,18.203580856323242,5,2000,TARGET,3485.2514772036875,8875.684968424073,B
81,1397,SDSSJ112702.07+421332.5,171.7586496,42.22570964,0,0,18.45294952392578,5,2000,TARGET,3079.212690841782,8469.450561153568,B
48,841,SDSSJ112700.78+421420.4,171.7532871,42.23902427,0,0,19.890640258789062,5,2000,TARGET,3326.7981486260533,8717.15578179,B
27,820,SDSSJ112658.55+421602.6,171.7439672,42.26740023,0,0,19.56546974182129,5,2000,TARGET,3842.6823076934043,9233.289622900558,B
12,106,SDSSJ112655.23+421743.0,171.73013504,42.29528263,0,0,20.480609893798828,5,2000,TARGET,4373.855715377772,9764.71977049632,B
11,105,SDSSJ112651.41+421936.5,171.71422125,42.32683253,0,0,20.580949783325195,5,2000,TARGET,4975.7207121882475,10366.875655617321,B
36,829,SDSSJ112704.75+421421.2,171.76980388,42.23923102,0,0,19.49955940246582,5,2000,TARGET,3242.3225095706493,8632.640411711518,B
86,1413,SDSSJ112708.82+421251.1,171.78676896,42.21421909,0,0,19.641929626464844,5,2000,TARGET,2740.2876996979167,8130.36323606215,B
80,1395,SDSSJ112709.42+421308.4,171.78928412,42.21902033,0,0,19.411239624023438,5,2000,TARGET,2806.07022659223,8196.17784558716,B
13,107,SDSSJ112656.08+421924.6,171.73370451,42.32351549,0,0,19.76671028137207,5,2000,TARGET,4818.042533455172,10209.122332201134,B
14,108,SDSSJ112656.95+421929.5,171.73733036,42.32487365,0,0,20.10198974609375,5,2000,TARGET,4821.148720864279,10212.230252261288,B
29,822,SDSSJ112710.14+421403.7,171.79228888,42.2343647,0,0,19.18012046813965,5,2000,TARGET,3042.999221079679,8433.221924480908,B
50,843,SDSSJ112704.82+421637.4,171.7701047,42.27706854,0,0,20.54446029663086,5,2000,TARGET,3863.0026082971553,9253.621550187409,B
5,97,SDSSJ112702.18+421832.9,171.7590917,42.30916495,0,0,19.57781982421875,5,2000,TARGET,4448.462778721049,9839.364889746152,B
16,110,SDSSJ112700.91+421952.2,171.75382381,42.33117178,0,0,19.524349212646484,5,2000,TARGET,4837.535908963691,10228.626288520803,B
65,861,SDSSJ112708.87+421717.9,171.78698478,42.28830686,0,0,20.367000579833984,5,2000,TARGET,3958.870244754446,9349.536497622335,B
37,830,SDSSJ112712.82+421643.4,171.80345805,42.27874634,0,0,19.240819931030273,5,2000,TARGET,3715.063399779708,9105.612249621317,B
52,845,SDSSJ112709.74+421821.4,171.79058852,42.30594826,0,0,19.817440032958984,5,2000,TARGET,4230.124317933579,9620.922062512518,B
43,836,SDSSJ112710.76+421815.8,171.79487166,42.30440977,0,0,20.220699310302734,5,2000,TARGET,4182.393597080381,9573.168382241183,B
38,831,SDSSJ112713.92+421718.7,171.80803566,42.28855029,0,0,19.19525909423828,5,2000,TARGET,3852.500794921806,9243.116327611164,B
53,847,SDSSJ112712.15+421817.2,171.80064379,42.30478905,0,0,20.222379684448242,5,2000,TARGET,4158.442998692692,9549.206372028639,B
39,832,SDSSJ112717.66+421606.5,171.82360401,42.26848038,0,0,18.28373908996582,5,2000,TARGET,3440.421187317521,8830.837757024572,B
55,850,SDSSJ112717.81+421623.1,171.82422604,42.27308837,0,0,19.592689514160156,5,2000,TARGET,3513.122343572648,8903.574107968243,B
40,833,SDSSJ112717.99+421635.3,171.82498297,42.27647345,0,0,18.2856502532959,5,2000,TARGET,3564.960596009605,8955.4374596607,B
30,823,SDSSJ112716.65+421743.3,171.8194129,42.2953641,0,0,19.54241943359375,5,2000,TARGET,3905.2868708846536,9295.92823778092,B
56,851,SDSSJ112718.33+421727.2,171.82638413,42.29089656,0,0,20.344940185546875,5,2000,TARGET,3795.345106848229,9185.93343829918,B
17,111,SDSSJ112713.46+422002.7,171.80608617,42.33408981,0,0,20.18004035949707,5,2000,TARGET,4612.205165224277,10003.18816225748,B
8,101,SDSSJ112714.52+421954.6,171.81050394,42.33185526,0,0,20.245969772338867,5,2000,TARGET,4552.472271610259,9943.42645271727,B
23,126,SDSSJ112712.40+422111.6,171.80169486,42.3532471,0,0,18.095449447631836,5,2000,TARGET,4950.188895346429,10341.335238828786,B
33,826,SDSSJ112729.42+421438.3,171.87262317,42.24398134,0,0,19.20677947998047,5,2000,TARGET,2780.234396349341,8170.332565736107,B
57,852,SDSSJ112718.51+421946.9,171.82715297,42.32972189,0,0,18.747230529785156,5,2000,TARGET,4430.977752381603,9821.873362509099,B
60,855,SDSSJ112726.05+421703.4,171.85855517,42.28427832,0,0,20.140230178833008,5,2000,TARGET,3519.009733602646,8909.464812883883,B
44,837,SDSSJ112727.43+421643.6,171.86430711,42.27880174,0,0,19.7944393157959,5,2000,TARGET,3398.784946591848,8789.181949900621,B
18,112,SDSSJ112717.85+422111.4,171.82439892,42.35318316,0,0,20.319499969482422,5,2000,TARGET,4831.604523772944,10222.693675031825,B
32,825,SDSSJ112726.84+421735.4,171.86184904,42.29318858,0,0,18.763580322265625,5,2000,TARGET,3649.0304983419633,9039.548376981158,B
61,857,SDSSJ112732.83+421527.6,171.88680172,42.25767309,0,0,19.407150268554688,5,2000,TARGET,2933.0899424707522,8323.261951561788,B
100,2554,SDSSJ112722.86+422013.3,171.84527716,42.33703941,0,0,19.445940017700195,5,2000,TARGET,4457.903033373897,9848.811605856023,B
63,859,SDSSJ112736.51+421509.7,171.90215894,42.25269651,0,0,19.44194984436035,5,2000,TARGET,2771.303142696648,8161.396885580362,B
47,840,SDSSJ112735.92+421617.6,171.89966883,42.27155872,0,0,18.61124038696289,5,2000,TARGET,3096.34622708263,8486.596869220431,B
99,2551,SDSSJ112727.15+422019.9,171.86315815,42.33888743,0,0,20.445110321044922,5,2000,TARGET,4396.387611067235,9787.266228249386,B
20,114,SDSSJ112725.26+422124.9,171.85528568,42.35693828,0,0,20.075109481811523,5,2000,TARGET,4734.520672987661,10125.56258679882,B
73,874,SDSSJ112738.55+421602.8,171.91066652,42.26744507,0,0,20.025279998779297,5,2000,TARGET,2971.629621751168,8361.819855182037,B
101,2556,SDSSJ112734.16+421817.3,171.8923532,42.30482329,0,0,18.309680938720703,5,2000,TARGET,3684.0416062008826,9074.575917224565,B
74,875,SDSSJ112738.47+421656.1,171.91031885,42.28225263,0,0,19.675739288330078,5,2000,TARGET,3218.5381359447283,8608.847455991227,B
75,876,SDSSJ112738.41+421717.7,171.91006726,42.28825642,0,0,20.580230712890625,5,2000,TARGET,3319.187928582693,8709.545786774317,B
108,2582,SDSSJ112732.54+422135.4,171.88561602,42.35984353,0,0,20.574430465698242,5,2000,TARGET,4627.448503553525,10018.437829304436,B
103,2559,SDSSJ112739.80+421855.5,171.91585125,42.31541941,0,0,18.221040725708008,5,2000,TARGET,3739.0635035675487,9129.623501896707,B
78,879,SDSSJ112743.11+421820.2,171.9296455,42.30563427,0,0,20.187410354614258,5,2000,TARGET,3506.7950820264628,8897.24255072994,B
66,863,SDSSJ112739.82+422008.8,171.91592831,42.33577797,0,0,18.493539810180664,5,2000,TARGET,4075.4753954073058,9466.197425380571,B
72,872,SDSSJ112745.04+421813.3,171.93770538,42.30370375,0,0,19.912939071655273,5,2000,TARGET,3433.7898525332557,8824.201749122612,B
71,870,SDSSJ112742.17+421954.3,171.92573958,42.3317521,0,0,19.53101921081543,5,2000,TARGET,3959.0377185520897,9349.703156902136,B
70,869,SDSSJ112740.92+422101.2,171.92053685,42.35034053,0,0,20.49683952331543,5,2000,TARGET,4293.012932857301,9683.839437786593,B
68,865,SDSSJ112742.18+422105.5,171.92578877,42.35154615,0,0,18.13538932800293,5,2000,TARGET,4286.383576656974,9677.206569620887,B
111,2592,SDSSJ112753.65+421640.9,171.97355491,42.27805431,0,0,20.34202003479004,5,2000,TARGET,2826.133240873439,8216.250508495506,B
110,2589,SDSSJ112743.96+422129.1,171.93320712,42.35809453,0,0,20.35577964782715,5,2000,TARGET,4357.309564336039,9748.16618852991,B
104,2561,SDSSJ112746.25+422057.4,171.94273697,42.34928136,0,0,19.397769927978516,5,2000,TARGET,4163.301978026097,9554.064610737181,B
105,2562,SDSSJ112748.42+422014.7,171.95176845,42.337429,0,0,19.75041961669922,5,2000,TARGET,3921.3795067369283,9312.025132789797,B
106,2567,SDSSJ112746.52+422153.6,171.94384033,42.36491009,0,0,19.49056053161621,5,2000,TARGET,4416.639773795264,9807.524140620002,B
116,3155,SDSSJ112742.99+422346.1,171.92914201,42.396166,0,0,19.79914093017578,5,2000,TARGET,5008.091747594332,10399.261611429241,B
93,1434,SDSSJ112748.72+422144.9,171.9530239,42.36249616,0,0,20.333290100097656,5,2000,TARGET,4330.5112149798815,9721.353437302125,B
107,2569,SDSSJ112802.76+421708.1,172.01153947,42.28558551,0,0,18.444440841674805,5,2000,TARGET,2759.3009401536683,8149.383054075614,B
97,2216,SDSSJ112748.13+422406.6,171.95057858,42.40185652,0,0,19.043970108032227,5,2000,TARGET,4995.181522881706,10386.343299336204,B
92,1427,SDSSJ112754.63+422209.8,171.97764322,42.36940642,0,0,19.651309967041016,5,2000,TARGET,4321.938887463871,9712.774727824193,B
114,2601,SDSSJ112806.40+421728.0,172.02667742,42.29111748,0,0,20.537599563598633,5,2000,TARGET,2775.3280231393073,8165.4163488016875,B
112,2598,SDSSJ112800.55+422035.2,172.00230651,42.34312791,0,0,20.154380798339844,5,2000,TARGET,3762.499150716215,9153.063885140455,B
96,1437,SDSSJ112755.09+422313.8,171.97958251,42.38719238,0,0,20.117820739746094,5,2000,TARGET,4607.5174663501675,9998.490184799208,B
95,1436,SDSSJ112756.32+422306.8,171.9846725,42.38524647,0,0,20.15110969543457,5,2000,TARGET,4549.923109218466,9940.867634676973,B
